id,title,budget,revenue,genres,is_franchise,release_date,vote_average,vote_count,runtime,collection,roi
3036,Mary Shelley's Frankenstein,45000000.0,112000000,Romance,False,1994-11-04,6.437,1264,123,,148.88888888888889
77948,The Cold Light of Day,20000000.0,16863583,Action,False,2012-04-04,5.36,936,93,,-15.682085
77948,The Cold Light of Day,20000000.0,16863583,Thriller,False,2012-04-04,5.36,936,93,,-15.682085
77948,The Cold Light of Day,20000000.0,16863583,Mystery,False,2012-04-04,5.36,936,93,,-15.682085
10823,Children of the Corn,800000.0,14568989,Horror,True,1984-03-09,5.724,1040,92,Children of the Corn Collection,1721.123625
10823,Children of the Corn,800000.0,14568989,Thriller,True,1984-03-09,5.724,1040,92,Children of the Corn Collection,1721.123625
476968,"Paul, Apostle of Christ",5000000.0,25915966,Drama,False,2018-03-23,7.599,378,108,,418.31932
11426,From Here to Eternity,1650000.0,30500000,War,False,1953-08-28,7.282,662,118,,1748.4848484848485
11426,From Here to Eternity,1650000.0,30500000,Romance,False,1953-08-28,7.282,662,118,,1748.4848484848485
11426,From Here to Eternity,1650000.0,30500000,Drama,False,1953-08-28,7.282,662,118,,1748.4848484848485
429733,Mayhem,2500000.0,17366,Action,False,2017-11-10,6.5,724,87,,-99.30536
429733,Mayhem,2500000.0,17366,Comedy,False,2017-11-10,6.5,724,87,,-99.30536
429733,Mayhem,2500000.0,17366,Horror,False,2017-11-10,6.5,724,87,,-99.30536
14177,Beauty Shop,25000000.0,36351350,Comedy,False,2005-04-22,6.303,525,105,,45.4054
14177,Beauty Shop,25000000.0,36351350,Romance,False,2005-04-22,6.303,525,105,,45.4054
759,Gentlemen Prefer Blondes,2300000.0,5300000,Comedy,False,1953-07-14,7.3,1001,91,,130.43478260869566
759,Gentlemen Prefer Blondes,2300000.0,5300000,Romance,False,1953-07-14,7.3,1001,91,,130.43478260869566
1019939,Hundreds of Beavers,150000.0,804017,Comedy,False,2024-01-26,7.225,193,108,,436.01133333333337
1019939,Hundreds of Beavers,150000.0,804017,Adventure,False,2024-01-26,7.225,193,108,,436.01133333333337
1019939,Hundreds of Beavers,150000.0,804017,Action,False,2024-01-26,7.225,193,108,,436.01133333333337
366668,Playmobil: The Movie,75000000.0,1630000,Family,False,2019-06-10,5.643,287,99,,-97.82666666666667
366668,Playmobil: The Movie,75000000.0,1630000,Animation,False,2019-06-10,5.643,287,99,,-97.82666666666667
366668,Playmobil: The Movie,75000000.0,1630000,Comedy,False,2019-06-10,5.643,287,99,,-97.82666666666667
